PREGLED ENP URE_AJA UGOVORA O SARADNJI;;;;;;;
;;;;;;;
Row Number;SERIJSKI BROJ;ID;KUPAC;;KATEGORIJA VOZILA;REGISTARSKI BROJ VOZILA;STATUS
1;15450109515;364128967;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;3;VA083PD;Bela lista
2;15450109804;364128996;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;1;VA087DC;Bela lista
3;15390055794;362550731;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;1;VA093SP;Bela lista
4;16330814258;377830929;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;3;VA081DH;Bela lista
5;16330032653;377752769;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;1;VA030VK;Bela lista
6;16330870029;377836506;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;3;VA109XJ;Bela lista
7;16450172925;380912524;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;1;NI237FA;Bela lista
8;17330644323;394591152;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;3;VA080AE;Bela lista
9;17330658737;394592593;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;1;VA087DC;Bela lista
10;17330587571;394585477;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;1;NI152XO;Bela lista
11;17380556088;395893048;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;2;BG1420SU;Bela lista
12;17430105365;397158696;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;3;VA089LD;Bela lista
13;17430123756;397160535;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;1;BG1202JF;Bela lista
14;18370326433;412385155;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;1;NI251EG;Bela lista
15;18230544746;408736970;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;3;VA066YU;Bela lista
16;18190008807;407634800;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;3;VA034GC;Bela lista
17;18370294680;412381980;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;1;VA132VB;Bela lista
18;18230599104;408742406;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;3;VA109AK;Bela lista
19;18380415895;412656245;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;1;BG2080SN;Bela lista
20;18380415937;412656249;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;1;BG3072CX;Bela lista
21;18380415978;412656253;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;1;BG766KH;Bela lista
22;19221139025;425311470;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;07DKC21;Bela lista
23;19221139082;425311476;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;CB8936HH;Siva lista
24;19221139090;425311477;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;E5340MC;Siva lista
25;19221139124;425311480;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;UE055FO;Bela lista
26;19221139165;425311484;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;CO6237CX;Siva lista
27;19221139199;425311487;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;MBGOJ100;Siva lista
28;19221139322;425311500;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;SB477GN;Siva lista
29;19221139371;425311505;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;AR019XB;Siva lista
30;19221139421;425311510;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;HNBA283;Siva lista
31;19221139447;425311512;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;DA672ED;Siva lista
32;19221139611;425311529;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;34DE5803;Siva lista
33;19221139629;425311530;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;E8733MA;Siva lista
34;19221139678;425311535;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;LJ55JPG;Siva lista
35;19221139694;425311537;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;DA343GC;Siva lista
36;19221139751;425311543;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;OG0507RR;Bela lista
37;19221139819;425311549;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;SK696JN;Siva lista
38;19221139827;425311550;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;ROSEF21;Siva lista
39;19221139959;425311563;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;PK0142BT;Siva lista
40;19221139967;425311564;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;SK3972AN;Siva lista
41;19221140098;425311577;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;34HT9016;Siva lista
42;19221140114;425311579;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;81EY307;Siva lista
43;19221140213;425311589;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;34FC4569;Siva lista
44;19221140221;425311590;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;27AEC501;Siva lista
45;19221140312;425311599;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;33EHL07;Siva lista
46;19221140338;425311601;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;34UH4199;Siva lista
47;19221140379;425311605;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;CB1774MK;Siva lista
48;19221140411;425311609;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;CA2649XC;Siva lista
49;19221140510;425311619;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;34CKC636;Siva lista
50;19221140544;425311622;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;34YP0314;Siva lista
51;19221140551;425311623;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;27RJ362;Siva lista
52;19221140585;425311626;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;ZG5045FU;Siva lista
53;19221140635;425311631;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;33DKR66;Siva lista
54;19221140684;425311636;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;81AJ018;Siva lista
55;19221140734;425311641;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;34SJ7521;Siva lista
56;19221140742;425311642;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;34CKG117;Siva lista
57;19221140874;425311655;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;14BT103;Siva lista
58;19221141005;425311668;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;38BG905;Siva lista
59;19221139066;425311474;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;ZG1540EI;Siva lista
60;19221139140;425311482;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;CEAJ008;Siva lista
61;19221139173;425311485;21187798(109465772) - JugoExsim d.o.o. Beograd-Novi Beograd;;4;33DVC62;Siva lista
